ID,Title,Artist,Genre,Loudness,Energy,Tempo,Duration,Acousticness,Danceability
C07,Silver_Serenade,A_Vereni,Classical,0.175,0.101,0.102,310,0.936,0.086
C08,Autumn_Melody,D_Hanori,Classical,0.046,0.038,0.051,420,0.989,0.029
C09,Starlit_Nocturne,M_Aurelius,Classical,0.116,0.139,0.153,340,0.926,0.129
C10,Winter_Reverie,T_Novakov,Classical,1.259,-0.669,0.133,305,0.904,0.071
C11,Golden_Concerto,E_Florentina,Classical,0.035,0.025,0.02,440,1,0.014
C12,Luminous_Waltz,L_Aramont,Classical,0.098,0.127,0.194,335,0.915,0.114
C13,Moonlit_Serenade,A_Vereni,Classical,0.163,0.089,0.112,315,0.947,0.1
C14,Autumn_Reverie,D_Hanori,Classical,0.069,0.051,0.071,425,0.979,0.043
C15,Silver_Melody,M_Aurelius,Classical,0.109,0.114,0.163,342,0.926,0.129
C16,Starry_Concerto,T_Novakov,Classical,0.197,0.165,0.143,300,0.894,0.086
H01,Night_Runner,Lil_Vortex,Hip-Hop,0.822,0.873,0.714,189,0.074,0.893
H02,Street_Cipher,D-Mask,Hip-Hop,0.776,0.785,0.255,201,0.096,0.714
H03,Urban_Maze,Kairo_Z,Hip-Hop,0.81,0.835,0.327,214,0.085,0.786
H04,Chrome_Flow,Real_Synq,Hip-Hop,0.799,0.911,0.816,175,0.043,0.957
H05,Lost_Blocks,Zenix,Hip-Hop,0.758,0.734,0.286,230,0.117,0.757
H06,Pulse_City,M-Edge,Hip-Hop,0.84,0.962,0.765,192,0.053,0.929
H07,Midnight_Bars,Lil_Vortex,Hip-Hop,0.828,0.886,0.694,200,0.064,0.857
H08,Street_Shadow,D-Mask,Hip-Hop,0.793,0.81,0.306,210,0.085,0.757
H09,Urban_Rhythm,Kairo_Z,Hip-Hop,0.816,0.848,0.408,205,0.074,0.814
H10,Chrome_Night,Real_Synq,Hip-Hop,0.787,0.899,0.796,178,0.053,0.929
H11,Lost_Zone,Zenix,Hip-Hop,0.764,0.747,0.296,225,0.106,0.743
H12,Pulse_Wave,M-Edge,Hip-Hop,0.834,0.949,0.745,195,0.053,0.914
H13,Night_Shift,Lil_Vortex,Hip-Hop,0.81,0.861,0.704,198,0.064,0.871
H14,Street_Ride,D-Mask,Hip-Hop,0.799,0.797,0.276,208,0.085,0.757
H15,Urban_Flow,Kairo_Z,Hip-Hop,0.822,0.835,0.357,210,0.074,0.8
H16,Chrome_Beat,Real_Synq,Hip-Hop,0.793,0.911,0.786,180,0.043,0.957
